assessment_name,description,skills_measured,job_roles,duration_minutes,assessment_id,remote_testing,adaptive_irt,test_type,url,text_blob
"Verbal Reasoning","Measures ability to understand and analyze written information","Reading comprehension, Logical reasoning","All professional roles",30,101,"Yes","No","Aptitude Test","https://www.shl.com/verbal-reasoning","Verbal Reasoning. Measures ability to understand and analyze written information. Reading comprehension, Logical reasoning. All professional roles"
"Numerical Reasoning","Assesses ability to work with numbers and interpret data","Numerical analysis, Data interpretation","Finance, Engineering, Analytics",35,102,"Yes","Yes","Aptitude Test","https://www.shl.com/numerical-reasoning","Numerical Reasoning. Assesses ability to work with numbers and interpret data. Numerical analysis, Data interpretation. Finance, Engineering, Analytics"
"Inductive Reasoning","Evaluates pattern recognition and logical thinking","Abstract reasoning, Problem solving","Technical roles, IT, Engineering",25,103,"Yes","No","Aptitude Test","https://www.shl.com/inductive-reasoning","Inductive Reasoning. Evaluates pattern recognition and logical thinking. Abstract reasoning, Problem solving. Technical roles, IT, Engineering"
"Personality Questionnaire","Measures work-related personality traits","Emotional stability, Extraversion, Conscientiousness","All roles",20,104,"Yes","No","Personality Assessment","https://www.shl.com/personality-questionnaire","Personality Questionnaire. Measures work-related personality traits. Emotional stability, Extraversion, Conscientiousness. All roles"
"Leadership Assessment","Evaluates leadership potential and management skills","Decision making, Team management, Strategic thinking","Managerial roles",45,105,"Yes","Yes","Skills Test","https://www.shl.com/leadership-assessment","Leadership Assessment. Evaluates leadership potential and management skills. Decision making, Team management, Strategic thinking. Managerial roles"
"Sales Aptitude","Assesses skills for sales and customer-facing roles","Persuasion, Communication, Resilience","Sales, Business Development",30,106,"Yes","No","Skills Test","https://www.shl.com/sales-aptitude","Sales Aptitude. Assesses skills for sales and customer-facing roles. Persuasion, Communication, Resilience. Sales, Business Development"
"Customer Service","Measures abilities for customer support roles","Empathy, Problem-solving, Patience","Customer Service, Support",25,107,"Yes","No","Skills Test","https://www.shl.com/customer-service","Customer Service. Measures abilities for customer support roles. Empathy, Problem-solving, Patience. Customer Service, Support"
"Mechanical Comprehension","Evaluates understanding of mechanical concepts","Spatial reasoning, Physics knowledge","Engineering, Technical roles",30,108,"Yes","No","Aptitude Test","https://www.shl.com/mechanical-comprehension","Mechanical Comprehension. Evaluates understanding of mechanical concepts. Spacial reasoning, Physics knowledge. Engineering, Technical roles"
"Emotional Intelligence","Assesses ability to recognize and manage emotions","Self-awareness, Empathy, Relationship management","All roles, especially client-facing",25,109,"Yes","Yes","Personality Assessment","https://www.shl.com/emotional-intelligence","Emotional Intelligence. Assesses ability to recognize and manage emotions. Self-awareness, Empathy, Relationship management. All roles, especially client-facing"
"Time Management","Evaluates ability to prioritize and manage time","Organization, Planning, Focus","All professional roles",20,110,"Yes","No","Skills Test","https://www.shl.com/time-management","Time Management. Evaluates ability to prioritize and manage time. Organization, Planning, Focus. All professional roles"
"Attention to Detail","Measures ability to focus on accuracy and completeness","Accuracy, Vigilance","Data entry, Quality assurance",20,111,"Yes","No","Skills Test","https://www.shl.com/attention-to-detail","Attention to Detail. Measures ability to focus on accuracy and completeness. Accuracy, Vigilance. Data entry, Quality assurance"
"Problem Solving","Assesses ability to analyze and solve complex issues","Analytical skills, Critical thinking","Management, Consulting",40,112,"Yes","Yes","Aptitude Test","https://www.shl.com/problem-solving","Problem Solving. Assesses ability to analyze and solve complex issues. Analytical skills, Critical thinking. Management, Consulting"
"Communication Skills (Written)","Evaluates clarity and effectiveness in written communication","Grammar, Spelling, Conciseness","All professional roles",35,113,"Yes","No","Skills Test","https://www.shl.com/written-communication","Communication Skills (Written). Evaluates clarity and effectiveness in written communication. Grammar, Spelling, Conciseness. All professional roles"
